date,Date,Open,Close,High,Low,Volume,Code
2018-01-18,2018-01-18,15.171,14.486,14.486,14.053,2148026.0,000001
2018-01-19,2018-01-19,15.565,14.565,14.889,14.447,2571146.0,000001
2018-01-22,2018-01-22,15.368,14.21,14.703,14.201,2073867.0,000001
2018-01-23,2018-01-23,15.132,14.417,14.663,14.102,2388791.0,000001
2018-01-24,2018-01-24,15.427,14.407,14.84,14.269,2591292.0,000001
2018-01-25,2018-01-25,15.22,13.974,14.24,13.777,2369984.0,000001
2018-01-26,2018-01-26,14.955,13.827,14.112,13.797,2032988.0,000001
2018-01-29,2018-01-29,14.827,13.522,14.023,13.384,2090546.0,000001
2018-01-30,2018-01-30,14.482,13.433,13.62,13.335,1094739.0,000001
2018-01-31,2018-01-31,14.384,13.827,13.827,13.315,1747729.0,000001
2018-02-01,2018-02-01,14.728,13.807,14.073,13.62,2005614.0,000001
2018-02-02,2018-02-02,14.689,13.827,13.876,13.413,1176512.0,000001
2018-02-05,2018-02-05,14.581,14.319,14.338,13.512,2331997.0,000001
2018-02-06,2018-02-06,15.004,13.777,14.102,13.709,2582872.0,000001
2018-02-07,2018-02-07,14.994,12.715,14.073,12.557,3345716.0,000001
2018-02-08,2018-02-08,13.626,12.341,12.715,12.331,2137815.0,000001
2018-02-09,2018-02-09,12.888,11.504,11.888,11.199,2824949.0,000001
2018-02-12,2018-02-12,12.593,11.534,11.652,11.376,1228782.0,000001
2018-02-13,2018-02-13,12.681,11.75,12.016,11.652,1298178.0,000001
2018-02-14,2018-02-14,12.77,11.809,11.839,11.573,864190.0,000001
2018-02-22,2018-02-22,13.055,12.262,12.331,12.055,1268406.0,000001
2018-02-23,2018-02-23,13.38,12.41,12.587,12.252,1013663.0,000001
2018-02-26,2018-02-26,13.567,12.429,12.646,12.252,1045758.0,000001
2018-02-27,2018-02-27,13.439,12.085,12.498,11.996,1285869.0,000001
2018-02-28,2018-02-28,12.908,11.858,11.996,11.74,1214145.0,000001
2018-03-01,2018-03-01,12.731,11.849,11.957,11.711,886957.0,000001
2018-03-02,2018-03-02,12.731,11.76,11.849,11.662,663124.0,000001
2018-03-05,2018-03-05,12.74,11.671,11.888,11.612,754183.0,000001
2018-03-06,2018-03-06,12.76,11.908,11.918,11.583,1150162.0,000001
2018-03-07,2018-03-07,12.957,11.858,12.144,11.849,1427570.0,000001
2018-03-08,2018-03-08,12.858,11.918,11.957,11.76,689755.0,000001
